RANK;COLOR;TYPE
0;#ff0000;0
0;#fd0083;0
0;#f700af;0
0;#ed00cb;0
0;#e700d6;0
0;#df00df;0
0;#d600e7;0
0;#cb00ed;0
0;#be00f3;0
0;#af00f7;0
0;#9c00fa;0
0;#8300fd;0
0;#6100fe;0
0;#0000ff;0
0;#0061fe;0
0;#0083fd;0
0;#009cfa;0
0;#00aff7;0
0;#00bef3;0
0;#00cbed;0
0;#00dfdf;0
0;#00edcb;0
0;#00f7af;0
0;#00fd83;0
0;#00ff00;0
0;#61fe00;0
0;#83fd00;0
0;#aff700;0
0;#cbed00;0
0;#dfdf00;0
1;#edcb00;0
1;#f3be00;0
1;#f7af00;0
1;#fa9c00;0
2;#fd8300;0
2;#fe6900;0
2;#ff5214;0
2;#ff411e;0
2;#f51e14;0
2;#ff3228;0
2;#eb1400;0
2;#d70e00;0
3;#c30400;0
3;#af0000;0
3;#9b0000;0
3;#870000;0
3;#730000;0
3;#5f0000;0
3;#4b0000;0
3;#370000;0
3;#140000;0
