RANK;COLOR;TYPE
0;#ffffff;0
0;#e4d9ec;0
0;#c9b3da;0
0;#ae8cc7;0
0;#9366b4;0
0;#7840a1;0
0;#5d1a8f;0
0;#470088;0
0;#3c009b;0
0;#3100ae;0
0;#2600c0;0
0;#1a00d3;0
0;#0f00e6;0
0;#0400f9;0
0;#000de6;0
0;#0020bf;0
0;#003399;0
0;#004673;0
0;#005a4d;0
0;#006d26;0
0;#008000;0
0;#269300;0
0;#4ca600;0
0;#73b900;0
0;#99cc00;0
0;#bfdf00;0
0;#e5f200;0
0;#fff200;0
0;#ffcc00;0
0;#ffa600;0
1;#ff8000;0
1;#ff5900;0
1;#ff3300;0
1;#ff0d00;0
1;#f30000;0
2;#e20000;0
2;#d10000;0
2;#bf0000;0
2;#ae0000;0
2;#9c0000;0
3;#8b0000;0
