RANK;COLOR;TYPE
0;#ffffff;0
0;#fafdfe;0
0;#f5fbfd;0
0;#f1f9fd;0
0;#ecf7fc;0
0;#e7f5fb;0
0;#e2f3fa;0
0;#def1f9;0
0;#d9eff9;0
0;#d4eef8;0
0;#cfecf7;0
0;#cbeaf6;0
0;#c6e8f5;0
0;#c1e6f5;0
0;#bce4f4;0
0;#b8e2f3;0
0;#b3e0f2;0
0;#aedef2;0
0;#a9dcf1;0
0;#a5daf0;0
0;#a0d8ef;0
0;#9bd6ee;0
0;#96d4ee;0
0;#91d2ed;0
0;#8dd0ec;0
0;#88ceeb;0
0;#83cce4;0
0;#7dc8da;0
0;#78c5d1;0
0;#73c2c8;0
0;#6dbfbe;0
0;#68bcb5;0
0;#63b9ac;0
0;#5db6a2;0
0;#58b399;0
0;#53b090;0
0;#4dad86;0
0;#48a97d;0
0;#42a674;0
0;#3da36a;0
0;#38a061;0
0;#329d58;0
0;#2d9a4e;0
0;#289745;0
0;#22943c;0
0;#1d9132;0
0;#188e29;0
0;#128b20;0
0;#0d8716;0
0;#08840d;0
0;#028104;0
0;#068300;0
0;#108800;0
0;#1a8d00;0
0;#249200;0
0;#2f9700;0
0;#399c00;0
0;#43a100;0
0;#4da600;0
0;#57ab00;0
0;#61b000;0
1;#6bb500;0
1;#75ba00;0
1;#80c000;0
1;#8ac500;0
1;#94ca00;0
1;#9ecf00;0
1;#a8d400;0
1;#b2d900;0
1;#bcde00;0
1;#c6e300;0
1;#d0e800;0
1;#dbed00;0
1;#e5f200;0
1;#eff700;0
1;#f9fc00;0
1;#fffb00;0
1;#fff100;0
1;#ffe700;0
1;#ffdd00;0
1;#ffd200;0
2;#ffc800;0
2;#ffbe00;0
2;#ffb400;0
2;#ffaa00;0
2;#ffa000;0
2;#ff9600;0
2;#ff8c00;0
2;#ff8200;0
2;#ff7700;0
2;#ff6d00;0
2;#ff6300;0
2;#ff5900;0
2;#ff4f00;0
2;#ff4500;0
2;#ff3b00;0
2;#ff3100;0
2;#ff2600;0
2;#ff1c00;0
2;#ff1200;0
2;#ff0800;0
3;#fe0000;0
3;#f90000;0
3;#f50000;0
3;#f00000;0
3;#ec0000;0
3;#e70000;0
3;#e20000;0
3;#de0000;0
3;#d90000;0
3;#d50000;0
3;#d00000;0
3;#cb0000;0
3;#c70000;0
3;#c20000;0
3;#be0000;0
3;#b90000;0
3;#b40000;0
3;#b00000;0
3;#ab0000;0
3;#a70000;0
3;#a20000;0
3;#9d0000;0
3;#990000;0
3;#940000;0
3;#900000;0
3;#8b0000;0
-1;#ffffff;3
-1;#fafdfe;3
-1;#f5fbfd;3
-1;#f1f9fd;3
-1;#ecf7fc;3
-1;#e7f5fb;3
-1;#e2f3fa;3
-1;#def1f9;3
-1;#d9eff9;3
-1;#d4eef8;3
-1;#cfecf7;3
-1;#cbeaf6;3
-1;#c6e8f5;3
-1;#c1e6f5;3
-1;#bce4f4;3
-1;#b8e2f3;3
-1;#b3e0f2;3
-1;#aedef2;3
-1;#a9dcf1;3
-1;#a5daf0;3
-1;#a0d8ef;3
-1;#9bd6ee;3
-1;#96d4ee;3
-1;#91d2ed;3
-1;#8dd0ec;3
-1;#88ceeb;3
-1;#83cce4;3
-1;#7dc8da;3
-1;#78c5d1;3
-1;#73c2c8;3
-1;#6dbfbe;3
-1;#68bcb5;3
-1;#63b9ac;3
-1;#5db6a2;3
-1;#58b399;3
-1;#53b090;3
-1;#4dad86;3
-1;#48a97d;3
-1;#42a674;3
-1;#3da36a;3
-1;#38a061;3
-1;#329d58;3
-1;#2d9a4e;3
-1;#289745;3
-1;#22943c;3
-1;#1d9132;3
-1;#188e29;3
-1;#128b20;3
-1;#0d8716;3
-1;#08840d;3
-1;#028104;3
0;#068300;3
0;#108800;3
0;#1a8d00;3
0;#249200;3
0;#2f9700;3
0;#399c00;3
0;#43a100;3
0;#4da600;3
0;#57ab00;3
0;#61b000;3
1;#6bb500;3
1;#75ba00;3
1;#80c000;3
1;#8ac500;3
1;#94ca00;3
1;#9ecf00;3
1;#a8d400;3
1;#b2d900;3
1;#bcde00;3
1;#c6e300;3
1;#d0e800;3
1;#dbed00;3
1;#e5f200;3
1;#eff700;3
1;#f9fc00;3
1;#fffb00;3
1;#fff100;3
1;#ffe700;3
1;#ffdd00;3
1;#ffd200;3
2;#ffc800;3
2;#ffbe00;3
2;#ffb400;3
2;#ffaa00;3
2;#ffa000;3
2;#ff9600;3
2;#ff8c00;3
2;#ff8200;3
2;#ff7700;3
2;#ff6d00;3
2;#ff6300;3
2;#ff5900;3
2;#ff4f00;3
2;#ff4500;3
2;#ff3b00;3
2;#ff3100;3
2;#ff2600;3
2;#ff1c00;3
2;#ff1200;3
2;#ff0800;3
3;#fe0000;3
3;#f90000;3
3;#f50000;3
3;#f00000;3
3;#ec0000;3
3;#e70000;3
3;#e20000;3
3;#de0000;3
3;#d90000;3
3;#d50000;3
3;#d00000;3
3;#cb0000;3
3;#c70000;3
3;#c20000;3
3;#be0000;3
3;#b90000;3
3;#b40000;3
3;#b00000;3
3;#ab0000;3
3;#a70000;3
3;#a20000;3
3;#9d0000;3
3;#990000;3
3;#940000;3
3;#900000;3
3;#8b0000;3
