RANK;COLOR;TYPE
0;#ffffff;0
0;#efeffc;0
0;#dfdff9;0
0;#cfcff6;0
0;#bfbff3;0
0;#afafef;0
1;#9f9fec;0
1;#8f8fe9;0
1;#8080e6;0
1;#7070e3;0
1;#6060e0;0
1;#5050dd;0
1;#4040da;0
1;#3030d6;0
1;#2020d3;0
1;#1010d0;0
1;#0000cd;0
1;#0008c0;0
1;#0010b3;0
1;#0018a7;0
2;#00209a;0
2;#00288d;0
2;#003080;0
2;#003873;0
2;#004067;0
2;#00485a;0
2;#00504d;0
2;#005840;0
2;#006033;0
2;#006826;0
2;#00701a;0
2;#00780d;0
2;#008000;0
2;#108800;0
2;#209000;0
2;#309800;0
2;#40a000;0
2;#50a800;0
2;#60b000;0
2;#70b800;0
3;#80c000;0
3;#8fc700;0
3;#9fcf00;0
3;#afd700;0
3;#bfdf00;0
3;#cfe700;0
3;#dfef00;0
3;#eff700;0
3;#ffff00;0
3;#ffef00;0
3;#ffdf00;0
3;#ffcf00;0
3;#ffbf00;0
3;#ffaf00;0
3;#ff9f00;0
3;#ff8f00;0
3;#ff8000;0
3;#ff7000;0
3;#ff6000;0
3;#ff5000;0
3;#ff4000;0
3;#ff3000;0
3;#ff2000;0
3;#ff1000;0
3;#ff0000;0
3;#f80000;0
3;#f10000;0
3;#e90000;0
3;#e20000;0
3;#db0000;0
3;#d40000;0
3;#cc0000;0
3;#c50000;0
3;#be0000;0
3;#b70000;0
3;#af0000;0
3;#a80000;0
3;#a10000;0
3;#9a0000;0
3;#920000;0
3;#8b0000;0
-1;#ffffff;3
-1;#efeffc;3
0;#dfdff9;3
0;#cfcff6;3
0;#bfbff3;3
0;#afafef;3
1;#9f9fec;3
1;#8f8fe9;3
1;#8080e6;3
1;#7070e3;3
1;#6060e0;3
1;#5050dd;3
1;#4040da;3
1;#3030d6;3
1;#2020d3;3
1;#1010d0;3
1;#0000cd;3
1;#0008c0;3
1;#0010b3;3
1;#0018a7;3
2;#00209a;3
2;#00288d;3
2;#003080;3
2;#003873;3
2;#004067;3
2;#00485a;3
2;#00504d;3
2;#005840;3
2;#006033;3
2;#006826;3
2;#00701a;3
2;#00780d;3
2;#008000;3
2;#108800;3
2;#209000;3
2;#309800;3
2;#40a000;3
2;#50a800;3
2;#60b000;3
2;#70b800;3
3;#80c000;3
3;#8fc700;3
3;#9fcf00;3
3;#afd700;3
3;#bfdf00;3
3;#cfe700;3
3;#dfef00;3
3;#eff700;3
3;#ffff00;3
3;#ffef00;3
3;#ffdf00;3
3;#ffcf00;3
3;#ffbf00;3
3;#ffaf00;3
3;#ff9f00;3
3;#ff8f00;3
3;#ff8000;3
3;#ff7000;3
3;#ff6000;3
3;#ff5000;3
3;#ff4000;3
3;#ff3000;3
3;#ff2000;3
3;#ff1000;3
3;#ff0000;3
3;#f80000;3
3;#f10000;3
3;#e90000;3
3;#e20000;3
3;#db0000;3
3;#d40000;3
3;#cc0000;3
3;#c50000;3
3;#be0000;3
3;#b70000;3
3;#af0000;3
3;#a80000;3
3;#a10000;3
3;#9a0000;3
3;#920000;3
3;#8b0000;3
