RANK;COLOR;TYPE
0;#ffffff;0
0;#efeffc;0
0;#dfdff9;0
0;#cfcff6;0
0;#bfbff3;0
0;#afafef;0
0;#9f9fec;0
0;#8f8fe9;0
0;#8080e6;0
0;#7070e3;0
1;#6060e0;0
1;#5050dd;0
1;#4040da;0
1;#3030d6;0
1;#2020d3;0
1;#1010d0;0
1;#0000cd;0
1;#0008c0;0
1;#0010b3;0
1;#0018a7;0
1;#00209a;0
1;#00288d;0
1;#003080;0
1;#003873;0
1;#004067;0
1;#00485a;0
1;#00504d;0
1;#005840;0
1;#006033;0
1;#006826;0
2;#00701a;0
2;#00780d;0
2;#008000;0
2;#108800;0
2;#209000;0
2;#309800;0
2;#40a000;0
2;#50a800;0
2;#60b000;0
2;#70b800;0
2;#80c000;0
2;#8fc700;0
2;#9fcf00;0
2;#afd700;0
2;#bfdf00;0
2;#cfe700;0
2;#dfef00;0
2;#eff700;0
2;#ffff00;0
2;#ffef00;0
2;#ffdf00;0
2;#ffcf00;0
2;#ffbf00;0
2;#ffaf00;0
2;#ff9f00;0
2;#ff8f00;0
2;#ff8000;0
2;#ff7000;0
2;#ff6000;0
2;#ff5000;0
3;#ff4000;0
3;#ff3000;0
3;#ff2000;0
3;#ff1000;0
3;#ff0000;0
3;#f80000;0
3;#f10000;0
3;#e90000;0
3;#e20000;0
3;#db0000;0
3;#d40000;0
3;#cc0000;0
3;#c50000;0
3;#be0000;0
3;#b70000;0
3;#af0000;0
3;#a80000;0
3;#a10000;0
3;#9a0000;0
3;#920000;0
3;#8b0000;0
-1;#ffffff;3
-1;#efeffc;3
0;#dfdff9;3
0;#cfcff6;3
0;#bfbff3;3
0;#afafef;3
0;#9f9fec;3
0;#8f8fe9;3
0;#8080e6;3
0;#7070e3;3
1;#6060e0;3
1;#5050dd;3
1;#4040da;3
1;#3030d6;3
1;#2020d3;3
1;#1010d0;3
1;#0000cd;3
1;#0008c0;3
1;#0010b3;3
1;#0018a7;3
1;#00209a;3
1;#00288d;3
1;#003080;3
1;#003873;3
1;#004067;3
1;#00485a;3
1;#00504d;3
1;#005840;3
1;#006033;3
1;#006826;3
2;#00701a;3
2;#00780d;3
2;#008000;3
2;#108800;3
2;#209000;3
2;#309800;3
2;#40a000;3
2;#50a800;3
2;#60b000;3
2;#70b800;3
2;#80c000;3
2;#8fc700;3
2;#9fcf00;3
2;#afd700;3
2;#bfdf00;3
2;#cfe700;3
2;#dfef00;3
2;#eff700;3
2;#ffff00;3
2;#ffef00;3
2;#ffdf00;3
2;#ffcf00;3
2;#ffbf00;3
2;#ffaf00;3
2;#ff9f00;3
2;#ff8f00;3
2;#ff8000;3
2;#ff7000;3
2;#ff6000;3
2;#ff5000;3
3;#ff4000;3
3;#ff3000;3
3;#ff2000;3
3;#ff1000;3
3;#ff0000;3
3;#f80000;3
3;#f10000;3
3;#e90000;3
3;#e20000;3
3;#db0000;3
3;#d40000;3
3;#cc0000;3
3;#c50000;3
3;#be0000;3
3;#b70000;3
3;#af0000;3
3;#a80000;3
3;#a10000;3
3;#9a0000;3
3;#920000;3
3;#8b0000;3
-1;#ffffff;1
-1;#efeffc;1
0;#dfdff9;1
0;#cfcff6;1
0;#bfbff3;1
0;#afafef;1
0;#9f9fec;1
0;#8f8fe9;1
0;#8080e6;1
0;#7070e3;1
1;#6060e0;1
1;#5050dd;1
1;#4040da;1
1;#3030d6;1
1;#2020d3;1
1;#1010d0;1
1;#0000cd;1
1;#0008c0;1
1;#0010b3;1
1;#0018a7;1
1;#00209a;1
1;#00288d;1
1;#003080;1
1;#003873;1
1;#004067;1
1;#00485a;1
1;#00504d;1
1;#005840;1
1;#006033;1
1;#006826;1
2;#00701a;1
2;#00780d;1
2;#008000;1
2;#108800;1
2;#209000;1
2;#309800;1
2;#40a000;1
2;#50a800;1
2;#60b000;1
2;#70b800;1
2;#80c000;1
2;#8fc700;1
2;#9fcf00;1
2;#afd700;1
2;#bfdf00;1
2;#cfe700;1
2;#dfef00;1
2;#eff700;1
2;#ffff00;1
2;#ffef00;1
2;#ffdf00;1
2;#ffcf00;1
2;#ffbf00;1
2;#ffaf00;1
2;#ff9f00;1
2;#ff8f00;1
2;#ff8000;1
2;#ff7000;1
2;#ff6000;1
2;#ff5000;1
3;#ff4000;1
3;#ff3000;1
3;#ff2000;1
3;#ff1000;1
3;#ff0000;1
3;#f80000;1
3;#f10000;1
3;#e90000;1
3;#e20000;1
3;#db0000;1
3;#d40000;1
3;#cc0000;1
3;#c50000;1
3;#be0000;1
3;#b70000;1
3;#af0000;1
3;#a80000;1
3;#a10000;1
3;#9a0000;1
3;#920000;1
3;#8b0000;1
