RANK;COLOR;TYPE
0;#8b0000;0
0;#960000;0
0;#a20000;0
0;#ad0000;0
0;#b80000;0
0;#c40000;0
0;#cf0000;0
0;#db0000;0
0;#e60000;0
0;#f10000;0
0;#fd0000;0
0;#ff1400;0
0;#ff2d00;0
0;#ff4600;0
0;#ff5f00;0
0;#ff7800;0
0;#ff9100;0
0;#ffaa00;0
0;#ffc300;0
0;#ffdc00;0
0;#fff500;0
0;#f0ff0f;0
0;#d7ff28;0
0;#beff41;0
0;#a5ff5a;0
0;#8cff73;0
1;#73ff8c;0
1;#5affa5;0
1;#41ffbe;0
1;#28ffd7;0
1;#0ffff0;0
1;#00f5ff;0
1;#00dcff;0
1;#00c3ff;0
1;#00aaff;0
1;#0091ff;0
2;#0078ff;0
2;#005fff;0
2;#0046ff;0
2;#002dff;0
2;#0014ff;0
3;#0100fd;0
3;#0900f0;0
3;#1000e4;0
3;#1800d8;0
3;#1f00cc;0
0;#2600bf;0
0;#2e00b3;0
0;#3500a7;0
0;#3c009b;0
0;#44008e;0
0;#4b0082;0
0;#8b0000;3
1;#960000;3
2;#a20000;3
4;#ad0000;3
6;#b80000;3
8;#c40000;3
10;#cf0000;3
12;#db0000;3
14;#e60000;3
16;#f10000;3
18;#fd0000;3
20;#ff1400;3
22;#ff2d00;3
24;#ff4600;3
26;#ff5f00;3
28;#ff7800;3
30;#ff9100;3
32;#ffaa00;3
34;#ffc300;3
36;#ffdc00;3
38;#fff500;3
40;#f0ff0f;3
42;#d7ff28;3
44;#beff41;3
46;#a5ff5a;3
48;#8cff73;3
50;#73ff8c;3
52;#5affa5;3
54;#41ffbe;3
56;#28ffd7;3
58;#0ffff0;3
60;#00f5ff;3
62;#00dcff;3
64;#00c3ff;3
66;#00aaff;3
68;#0091ff;3
70;#0078ff;3
72;#005fff;3
74;#0046ff;3
76;#002dff;3
78;#0014ff;3
80;#0100fd;3
82;#0900f0;3
84;#1000e4;3
86;#1800d8;3
88;#1f00cc;3
90;#2600bf;3
92;#2e00b3;3
94;#3500a7;3
96;#3c009b;3
98;#44008e;3
100;#4b0082;3
