RANK;COLOR;TYPE
0;#4b0082;0
0;#630092;0
0;#7a00a3;0
0;#9200b3;0
0;#a900c4;0
0;#c100d4;0
0;#d900e4;0
0;#f000f5;0
0;#f200fd;0
0;#d100f6;0
0;#b000ef;0
0;#8e00e9;0
0;#6d00e2;0
0;#4b00dc;0
0;#2a00d5;0
0;#0800cf;0
0;#0d14d0;0
0;#1f2fd4;0
0;#314ad8;0
0;#4265dc;0
0;#5480e0;0
0;#669be4;0
0;#78b6e8;0
0;#89cfeb;0
0;#99d5ee;0
0;#a8dcf1;0
0;#b8e2f3;0
0;#c8e9f6;0
0;#d8eff8;0
0;#e7f5fb;0
0;#f7fcfe;0
0;#eef7ee;0
0;#cde6cd;0
0;#abd5ab;0
0;#8ac58a;0
0;#69b469;0
1;#47a347;0
1;#269326;0
1;#048204;0
1;#1d8f00;0
1;#3f9f00;0
2;#60b000;0
2;#82c100;0
2;#a3d100;0
2;#c4e200;0
2;#e6f300;0
2;#fff700;0
2;#ffd500;0
2;#ffb400;0
2;#ff9200;0
2;#ff7100;0
3;#ff4f00;0
3;#ff2e00;0
3;#ff0d00;0
3;#f50000;0
3;#e60000;0
3;#d70000;0
3;#c80000;0
3;#b90000;0
3;#a90000;0
3;#9a0000;0
3;#8b0000;0
