RANK;COLOR;TYPE
0;#a0a0a0;0
0;#0096fe;0
0;#00c8fe;0
0;#0ae6f0;0
0;#28e6a0;0
1;#46e678;0
1;#64e650;0
1;#82f028;0
1;#a0fa00;0
1;#fefe00;0
1;#fee100;0
1;#fec800;0
2;#feaf00;0
2;#fe9600;0
2;#e67d00;0
2;#e66400;0
2;#dc4b1e;0
2;#c8321e;0
2;#b4191e;0
2;#aa001e;0
2;#b40032;0
3;#c80064;0
3;#fe0096;0
3;#fe00c8;0
3;#fe00fa;0
3;#e100e1;0
3;#c800c8;0
3;#af00af;0
3;#960096;0
3;#7d007d;0
3;#640064;0
-1;#a0a0a0;3
-1;#0096fe;3
-1;#00c8fe;3
-1;#0ae6f0;3
0;#28e6a0;3
1;#46e678;3
1;#64e650;3
1;#82f028;3
1;#a0fa00;3
1;#fefe00;3
1;#fee100;3
1;#fec800;3
2;#feaf00;3
2;#fe9600;3
2;#e67d00;3
2;#e66400;3
2;#dc4b1e;3
2;#c8321e;3
2;#b4191e;3
2;#aa001e;3
2;#b40032;3
3;#c80064;3
3;#fe0096;3
3;#fe00c8;3
3;#fe00fa;3
3;#e100e1;3
3;#c800c8;3
3;#af00af;3
3;#960096;3
3;#7d007d;3
3;#640064;3
