RANK,COLOR,TYPE
0,#820082,0
0,#a000a0,0
0,#c800c8,0
0,#fa00fe,0
0,#d200fe,0
0,#aa00fe,0
0,#8200fe,0
0,#5a00fe,0
0,#0032fe,0
0,#0064fe,0
0,#0096fe,0
0,#00c8fe,0
0,#0ae6f0,0
0,#28e6a0,0
0,#46e678,0
0,#64e650,0
0,#82f028,0
0,#a0fa00,0
0,#fefe00,0
0,#fee100,0
0,#fec800,0
1,#feaf00,0
1,#fe9600,0
1,#e67d00,0
2,#e66400,0
2,#dc4b1e,0
2,#c8321e,0
2,#b4191e,0
3,#aa001e,0
3,#b40032,0
3,#c80064,0
3,#fe0096,0
-1,#820082,1
-1,#a000a0,1
-1,#c800c8,1
-1,#fa00fe,1
-1,#d200fe,1
-1,#aa00fe,1
-1,#8200fe,1
-1,#5a00fe,1
-1,#0032fe,1
-1,#0064fe,1
-1,#0096fe,1
-1,#00c8fe,1
-1,#0ae6f0,1
-1,#28e6a0,1
-1,#46e678,1
-1,#64e650,1
-1,#82f028,1
-1,#a0fa00,1
0,#fefe00,1
0,#fee100,1
0,#fec800,1
1,#feaf00,1
1,#fe9600,1
1,#e67d00,1
2,#e66400,1
2,#dc4b1e,1
2,#c8321e,1
2,#b4191e,1
3,#aa001e,1
3,#b40032,1
3,#c80064,1
3,#fe0096,1
