RANK;COLOR;TYPE
3;#ffffff;0
3;#ffd3ff;0
3;#ffa8ff;0
3;#ff7cff;0
3;#ff51ff;0
3;#ff25ff;0
3;#fb00fc;0
3;#dc00e7;0
3;#bd00d1;0
3;#9e00bc;0
3;#8000a7;0
3;#610091;0
2;#4e0a87;0
2;#582d99;0
1;#6250ab;0
1;#6d74bd;0
0;#7797cf;0
0;#81bae1;0
0;#7dc8da;0
0;#66bbb2;0
0;#4fae8a;0
0;#38a061;0
0;#219339;0
0;#0a8611;0
0;#198c00;0
0;#44a200;0
0;#70b800;0
0;#9bcd00;0
0;#c7e300;0
0;#f3f900;0
0;#ffe000;0
0;#ffb400;0
0;#ff8900;0
0;#ff5d00;0
0;#ff3200;0
0;#ff0600;0
0;#ee0000;0
0;#da0000;0
0;#c60000;0
0;#b30000;0
0;#9f0000;0
0;#8b0000;0
