RANK;COLOR;TYPE
0;#ffffff;0
0;#f6fcfe;0
0;#eef8fc;0
1;#e5f5fb;0
1;#ddf1f9;0
1;#d4eef8;0
1;#cceaf6;0
1;#c3e7f5;0
1;#bae3f4;0
1;#b2e0f2;0
2;#a9dcf1;0
2;#a1d9ef;0
2;#98d5ee;0
2;#90d2ec;0
2;#87ceeb;0
2;#7dc8da;0
2;#74c3c9;0
2;#6abdb9;0
2;#60b8a8;0
2;#57b297;0
3;#4dad86;0
3;#44a776;0
3;#3aa165;0
3;#309c54;0
3;#279643;0
3;#1d9132;0
3;#138b22;0
3;#0a8611;0
3;#008000;0
3;#128900;0
3;#249200;0
3;#379b00;0
3;#49a400;0
3;#5bad00;0
3;#6db600;0
3;#80c000;0
3;#92c900;0
3;#a4d200;0
3;#b6db00;0
3;#c8e400;0
3;#dbed00;0
3;#edf600;0
3;#ffff00;0
3;#ffed00;0
3;#ffdb00;0
3;#ffc800;0
3;#ffb600;0
3;#ffa400;0
3;#ff9200;0
3;#ff8000;0
3;#ff6d00;0
3;#ff5b00;0
3;#ff4900;0
3;#ff3700;0
3;#ff2400;0
3;#ff1200;0
3;#ff0000;0
3;#f70000;0
3;#ee0000;0
3;#e60000;0
3;#de0000;0
3;#d60000;0
3;#cd0000;0
3;#c50000;0
3;#bd0000;0
3;#b40000;0
3;#ac0000;0
3;#a40000;0
3;#9c0000;0
3;#930000;0
3;#8b0000;0
