RANK;COLOR;TYPE
3;#b2b2b2;0
3;#cccccc;0
3;#e1e1e1;0
3;#bee8ff;0
3;#73dfff;0
3;#00c5ff;0
2;#0084a8;0
2;#444f89;0
2;#00734c;0
2;#38a800;0
2;#4ce600;0
1;#55ff00;0
1;#a3ff73;0
1;#d3ffbe;0
1;#ffffbe;0
1;#f5ca7a;0
0;#ffaa00;0
0;#f57a7a;0
0;#ff0000;0
0;#e60000;0
0;#a80000;0
0;#732600;0
0;#73004c;0
0;#a80084;0
0;#e600a9;0
0;#ff00c5;0
0;#ff73df;0
0;#ffbee8;0
0;#ffffff;0
0;#b2b2b2;3
100;#cccccc;3
200;#e1e1e1;3
300;#bee8ff;3
400;#73dfff;3
500;#00c5ff;3
600;#0084a8;3
700;#444f89;3
800;#00734c;3
900;#38a800;3
1000;#4ce600;3
1100;#55ff00;3
1200;#a3ff73;3
1300;#d3ffbe;3
1400;#ffffbe;3
1500;#f5ca7a;3
1600;#ffaa00;3
1800;#f57a7a;3
2000;#ff0000;3
2200;#e60000;3
2400;#a80000;3
2600;#732600;3
2800;#73004c;3
3000;#a80084;3
3200;#e600a9;3
3400;#ff00c5;3
3600;#ff73df;3
3800;#ffbee8;3
4000;#ffffff;3
