RANK;COLOR;TYPE
0;#ffffff;0
1;#ede5f2;0
1;#dacbe6;0
1;#c8b1d9;0
1;#b697cc;0
2;#a37dbf;0
2;#9163b3;0
2;#7f49a6;0
2;#6d3099;0
2;#5a168d;0
2;#4c0384;0
2;#52188e;0
3;#582d99;0
3;#5e42a4;0
3;#6457ae;0
3;#6b6cb9;0
3;#7181c4;0
3;#7796cf;0
3;#7dabd9;0
3;#83c0e4;0
3;#82cbe3;0
3;#75c3cb;0
3;#67bbb3;0
3;#59b49b;0
3;#4cac83;0
3;#3ea46c;0
3;#309c54;0
3;#22943c;0
3;#158c24;0
3;#07840c;0
3;#0d8600;0
3;#279300;0
3;#41a000;0
3;#5bad00;0
3;#75ba00;0
3;#8fc700;0
3;#a9d400;0
3;#c2e100;0
3;#dcee00;0
3;#f6fb00;0
3;#ffee00;0
3;#ffd400;0
3;#ffba00;0
3;#ffa000;0
3;#ff8600;0
3;#ff6c00;0
3;#ff5200;0
3;#ff3800;0
3;#ff1e00;0
3;#ff0400;0
3;#f50000;0
3;#e90000;0
3;#de0000;0
3;#d20000;0
3;#c60000;0
3;#ba0000;0
3;#ae0000;0
3;#a30000;0
3;#970000;0
3;#8b0000;0
