RANK;COLOR;TYPE
0;#ffffff;0
0;#efeffc;0
0;#dfdff9;0
0;#cfcff6;0
0;#bfbff3;0
0;#afafef;0
0;#9f9fec;0
0;#8f8fe9;0
0;#8080e6;0
0;#7070e3;0
1;#6060e0;0
1;#5050dd;0
1;#4040da;0
1;#3030d6;0
1;#2020d3;0
1;#1010d0;0
1;#0000cd;0
1;#0008c0;0
1;#0010b3;0
1;#0018a7;0
1;#00209a;0
1;#00288d;0
1;#003080;0
1;#003873;0
1;#004067;0
1;#00485a;0
1;#00504d;0
1;#005840;0
1;#006033;0
1;#006826;0
2;#00701a;0
2;#00780d;0
2;#008000;0
2;#108800;0
2;#209000;0
2;#309800;0
2;#40a000;0
2;#50a800;0
2;#60b000;0
2;#70b800;0
2;#80c000;0
2;#8fc700;0
2;#9fcf00;0
2;#afd700;0
2;#bfdf00;0
2;#cfe700;0
2;#dfef00;0
2;#eff700;0
2;#ffff00;0
2;#ffef00;0
2;#ffdf00;0
2;#ffcf00;0
2;#ffbf00;0
2;#ffaf00;0
2;#ff9f00;0
2;#ff8f00;0
2;#ff8000;0
2;#ff7000;0
2;#ff6000;0
2;#ff5000;0
3;#ff4000;0
3;#ff3000;0
3;#ff2000;0
3;#ff1000;0
3;#ff0000;0
3;#f80000;0
3;#f10000;0
3;#e90000;0
3;#e20000;0
3;#db0000;0
3;#d40000;0
3;#cc0000;0
3;#c50000;0
3;#be0000;0
3;#b70000;0
3;#af0000;0
3;#a80000;0
3;#a10000;0
3;#9a0000;0
3;#920000;0
3;#8b0000;0
