RANK;COLOR;TYPE
0;#8b0000;0
0;#960000;0
0;#a20000;0
0;#ad0000;0
0;#b80000;0
0;#c40000;0
0;#cf0000;0
0;#db0000;0
0;#e60000;0
0;#f10000;0
0;#fd0000;0
0;#ff1400;0
0;#ff2d00;0
0;#ff4600;0
0;#ff5f00;0
0;#ff7800;0
0;#ff9100;0
0;#ffaa00;0
0;#ffc300;0
0;#ffdc00;0
0;#fff500;0
0;#f0ff0f;0
0;#d7ff28;0
0;#beff41;0
0;#a5ff5a;0
0;#8cff73;0
1;#73ff8c;0
1;#5affa5;0
1;#41ffbe;0
1;#28ffd7;0
1;#0ffff0;0
1;#00f5ff;0
1;#00dcff;0
1;#00c3ff;0
1;#00aaff;0
1;#0091ff;0
2;#0078ff;0
2;#005fff;0
2;#0046ff;0
2;#002dff;0
2;#0014ff;0
3;#0100fd;0
3;#0900f0;0
3;#1000e4;0
3;#1800d8;0
3;#1f00cc;0
0;#2600bf;0
0;#2e00b3;0
0;#3500a7;0
0;#3c009b;0
0;#44008e;0
0;#4b0082;0
