RANK;COLOR;TYPE
0;#ffffff;0
0;#faf0e6;0
0;#f0dcd2;0
0;#e1beb4;0
0;#c8a096;0
0;#b48c82;0
0;#a0786e;0
0;#8c645a;0
0;#785046;0
0;#a50000;0
0;#c00000;0
0;#e11400;0
0;#f53200;0
0;#ff6000;0
0;#ffa000;0
0;#ffc03c;0
0;#ffe878;0
0;#fffaaa;0
0;#c8ffbe;0
0;#96f58c;0
0;#78f573;0
0;#50f050;0
0;#37d23c;0
0;#1eb41e;0
0;#0fa00f;0
1;#288ca0;0
1;#1e6eeb;0
1;#2882f0;0
1;#50a5f5;0
1;#78b9fa;0
2;#96d2fa;0
2;#b4f0fa;0
2;#dcdcff;0
2;#c0b4ff;0
2;#a08cff;0
3;#8070eb;0
3;#6456dc;0
3;#483cc8;0
3;#3c28b4;0
3;#2800a0;0
3;#6400aa;0
3;#aa1ed2;0
3;#cd50eb;0
3;#eb8cff;0
